0,211,211
1,193,193
2,244,244
3,254,254
4,368,368
5,480,480
6,685,685
7,1072,1072
8,1412,1412
9,1967,1967
10,4593,4593
11,4329,4329
12,10662,10662
13,9519,9519
14,8351,8351
15,17573,17573
16,20734,20734
17,18794,18794
18,21809,21809
19,16364,16364
20,21033,21033
21,22274,22274
22,21417,21417
23,20789,20789
24,19704,19704
25,20541,20541
26,22633,22633
27,20162,20162
28,21447,21447
29,19905,19905
30,19890,19890
31,20696,20696
32,19375,19375
33,19646,19646
34,19421,19421
35,19454,19454
36,19864,19864
37,19867,19867
38,20880,20880
39,19364,19364
40,19921,19921
41,23061,23061
42,19801,19801
43,23594,23594
44,19631,19631
45,20401,20401
46,21840,21840
47,20091,20091
48,20409,20409
49,19229,19229
50,20572,20572
51,20102,20102
52,21063,21063
53,22676,22676
54,20012,20012
55,21531,21531
56,21884,21884
57,21014,21014
58,21733,21733
59,19684,19684
60,19809,19809
61,21862,21862
62,19471,19471
63,23271,23271
64,18376,18376
65,18452,18452
66,19070,19070
67,17630,17630
68,17851,17851
69,17380,17380
70,19109,19109
71,19998,19998
72,20721,20721
73,22407,22407
74,17143,17143
75,24690,24690
76,39904,39904
77,27761,27761
78,46369,46369
79,17921,17921
80,24673,24673
81,38498,38498
82,32219,32219
83,35661,35661
84,23672,23672
85,26801,26801
86,39069,39069
87,26535,26535
88,26993,26993
89,18431,18431
90,21983,21983
91,23984,23984
92,26306,26306
93,26278,26278
94,18136,18136
95,29101,29101
96,31519,31519
97,28309,28309
98,27141,27141
99,20210,20210
100,22557,22557
101,20927,20927
102,22118,22118
103,19812,19812
104,17007,17007
105,15676,15676
106,26272,26272
107,16605,16605
108,23856,23856
109,13432,13432
110,11717,11717
111,18322,18322
112,12413,12413
113,14787,14787
114,10369,10369
115,10526,10526
116,11696,11696
117,9789,9789
118,12160,12160
119,9217,9217
120,9001,9001
121,9805,9805
122,9244,9244
123,8661,8661
124,8111,8111
125,7166,7166
126,7363,7363
127,7450,7450
128,6210,6210
129,5954,5954
130,6325,6325
131,5909,5909
132,5523,5523
133,5601,5601
134,5349,5349
135,5570,5570
136,5403,5403
137,5420,5420
138,5050,5050
139,5114,5114
140,5169,5169
141,5133,5133
142,5423,5423
143,5269,5269
144,4768,4768
145,4750,4750
146,4838,4838
147,4904,4904
148,4502,4502
149,4535,4535
150,4720,4720
151,4072,4072
152,4095,4095
153,3999,3999
154,3849,3849
155,3834,3834
156,3593,3593
157,3609,3609
158,3405,3405
159,3407,3407
160,3461,3461
161,3216,3216
162,3035,3035
163,3115,3115
164,2953,2953
165,2891,2891
166,2863,2863
167,2639,2639
168,2689,2689
169,2525,2525
170,2521,2521
171,2482,2482
172,2562,2562
173,2399,2399
174,2220,2220
175,2377,2377
176,2343,2343
177,2197,2197
178,2142,2142
179,2122,2122
180,2202,2202
181,2079,2079
182,3185,3185
183,4315,4315
184,8938,8938
185,3254,3254
186,2555,2555
187,18631,18631
188,2872,2872
189,46991,46991
190,2915,2915
191,10764,10764
192,26878,26878
193,24264,24264
194,9751,9751
195,2822,2822
196,22696,22696
197,9759,9759
198,25807,25807
199,7626,7626
200,4957,4957
201,18512,18512
202,9517,9517
203,15866,15866
204,5838,5838
205,7719,7719
206,15234,15234
207,8575,8575
208,12394,12394
209,3789,3789
210,9858,9858
211,7631,7631
212,8341,8341
213,5623,5623
214,2898,2898
215,10995,10995
216,5343,5343
217,9587,9587
218,3334,3334
219,2674,2674
220,5460,5460
221,2652,2652
222,4475,4475
223,2566,2566
224,2720,2720
225,4752,4752
226,3482,3482
227,3975,3975
228,2723,2723
229,5238,5238
230,2970,2970
231,8311,8311
232,2761,2761
233,3342,3342
234,7735,7735
235,3934,3934
236,4608,4608
237,2578,2578
238,4922,4922
239,3231,3231
240,3810,3810
241,3842,3842
242,2907,2907
243,4514,4514
244,4476,4476
245,4543,4543
246,2770,2770
247,3315,3315
248,12006,12006
249,4512,4512
250,11186,11186
251,11714,11714
252,31657,31657
253,0,0
254,0,0
255,0,0
